univNameCn,univTags,univCategory,province,score,ranking,lng,lat,tlng,tlat
武汉理工大学,一流学科 211,理工,湖北,312.2,55,114.352748,30.514768,114.3472437,30.51712629
中国海洋大学,一流大学A类 985 211,综合,山东,311,56,120.336266,36.06184,120.3311948,36.06164302
暨南大学,一流学科 211,综合,广东,307.4,57,113.347717,23.128052,113.3422572,23.13061035
中国石油大学（北京）,一流学科 211,理工,北京,307.3,58,116.245976,40.220419,116.239903,40.21917877
北京工业大学,一流学科 211,理工,北京,306,59,116.480595,39.875357,116.4744987,39.87406331
河海大学,一流学科 211,理工,江苏,303.4,60,119.980309,31.818939,119.9755536,31.82097719
中国矿业大学,一流学科 211,理工,江苏,301.6,61,117.20002,34.221153,117.1942669,34.22240708
北京化工大学,一流学科 211,理工,北京,296.7,62,116.420818,39.970398,116.4145722,39.96899489
中国地质大学（北京）,一流学科 211,理工,北京,295.5,63,116.348923,39.991346,116.3427444,39.99000328
西北大学,一流学科 211,综合,陕西,293,64,108.927414,34.248524,108.9228028,34.25014175
江南大学,一流学科 211,综合,江苏,292.9,65,108.273206,22.781166,108.2692891,22.78401706
上海科技大学,,综合,上海,288.7,66,121.594551,31.17614,121.5903516,31.17836718
中国石油大学（华东）,一流学科 211,理工,山东,287.4,67,108.648277,21.973679,108.6445402,21.97657855
西南大学,一流学科 211,综合,重庆,286.5,68,106.419098,29.820271,106.4150617,29.82274979
中国矿业大学（北京）,一流学科 211,理工,北京,285.5,69,116.349613,39.999426,116.3434319,39.99808168
深圳大学,,综合,广东,280.4,70,113.935097,22.527939,113.9302326,22.53097491
陕西师范大学,一流学科 211,师范,陕西,280.1,71,108.953253,34.206264,108.9485825,34.2078587
江苏大学,,综合,江苏,276.9,72,118.704677,32.178798,118.6994932,32.18090408
浙江工业大学,,理工,浙江,275.6,73,120.04121,30.228002,120.0364424,30.23035785
北京林业大学,一流学科 211,林业,北京,275,74,116.341404,40.002502,116.3352408,40.00117283
华南师范大学,一流学科 211,师范,广东,274.7,75,113.518066,23.354553,113.5127888,23.35719798
西北农林科技大学,一流大学B类 985 211,农业,陕西,273.7,76,108.078491,34.272434,108.0735844,34.2737104
扬州大学,,综合,江苏,269.5,77,119.42163,32.388299,119.4161539,32.39018101
南昌大学,一流学科 211,综合,江西,268.9,78,115.802686,28.665028,115.7976398,28.66826001
福州大学,一流学科 211,理工,福建,267.7,79,119.19505,26.057266,119.1902204,26.06033801
华北电力大学,一流学科 211,理工,北京,263.2,80,116.33358,39.988014,116.327437,39.98670047
东华大学,一流学科 211,理工,上海,262.8,81,121.210938,31.059938,121.2064938,31.06201645
合肥工业大学,一流学科 211,理工,安徽,262.7,82,117.293767,31.846725,117.2882368,31.84871151
云南大学,一流大学B类 211,综合,云南,262.1,83,102.700578,25.052952,102.6991627,25.05594162
宁波大学,一流学科,综合,浙江,261.4,84,121.635098,29.911925,121.6309838,29.914533
首都师范大学,一流学科,师范,北京,261.1,85,116.323341,39.924248,116.3172287,39.92295634
湖南师范大学,一流学科 211,师范,湖南,259.6,86,112.946191,28.183942,112.9407397,28.18744538
南京工业大学,,理工,江苏,259.5,87,118.642381,32.077725,118.637335,32.07992301
长安大学,一流学科 211,理工,陕西,250.2,88,108.955053,34.228959,108.9503751,34.23054196
福建师范大学,,师范,福建,248.2,89,119.37986,25.704958,119.3749553,25.70769069
安徽大学,一流学科 211,综合,安徽,243.1,90,117.255736,31.844926,117.2502522,31.84693932
南京信息工程大学,一流学科,理工,江苏,240.9,91,118.715506,32.203356,118.710301,32.20544944
上海理工大学,,理工,上海,240.7,92,121.553803,31.290336,121.5495286,31.29246107
华南农业大学,,农业,广东,238.3,93,113.360382,23.167627,113.3548964,23.1701479
广西大学,一流学科 211,综合,广西,237,94,108.288135,22.839381,108.2842021,22.8421969
南京邮电大学,一流学科,理工,江苏,235.7,95,118.814249,32.070478,118.8090876,32.07257666
燕山大学,,理工,河北,235.7,95,119.539719,39.904507,119.5338006,39.90331395
河南大学,一流学科,综合,河南,234.6,97,113.541989,34.792565,113.5358207,34.79363423
湖北大学,,综合,湖北,232.9,98,114.331617,30.576571,114.3261408,30.57894755
广州大学,,综合,广东,232.7,99,113.370555,23.039919,113.3650622,23.04247683
青岛大学,,综合,山东,231.4,100,120.423644,36.067508,120.4185297,36.06722919
湘潭大学,,综合,湖南,229.9,101,112.863096,27.882942,112.8576911,27.88640289
广东工业大学,,理工,广东,229.6,102,113.396961,23.039789,113.3914437,23.04232136
浙江师范大学,,师范,浙江,229.2,103,121.347948,28.485432,121.343595,28.48851426
大连海事大学,一流学科 211,理工,辽宁,228.4,104,121.529038,38.869782,121.5239455,38.86892431
上海师范大学,,师范,上海,227.3,105,121.418362,31.160404,121.4137207,31.16227578
杭州电子科技大学,,理工,浙江,226.9,106,120.3432,30.314207,120.3386495,30.31653969
武汉科技大学,,理工,湖北,226.6,107,114.370253,30.623761,114.364716,30.62605144
南京林业大学,一流学科,林业,江苏,225.3,108,118.816826,32.078682,118.811669,32.08078698
河北工业大学,一流学科 211,理工,天津,223.8,109,114.463313,37.97725,114.4571202,37.97645497
山东师范大学,,师范,山东,223.8,109,116.834412,36.543625,116.8288014,36.54353143
浙江理工大学,,理工,浙江,221.8,111,120.362572,30.316087,120.3579946,30.31838561
山西大学,,综合,山西,221,112,112.588507,37.801171,112.5822712,37.80068193
太原理工大学,一流学科 211,理工,山西,219.8,113,112.518158,37.859976,112.5117431,37.85935299
东北林业大学,一流学科 211,林业,黑龙江,218.9,114,126.634252,45.720355,126.6283169,45.71841349
河北大学,,综合,河北,217,115,114.54876,38.02342,114.5428918,38.02287071
东北农业大学,一流学科 211,农业,黑龙江,216.3,116,126.726219,45.743717,126.7200492,45.74162948
江西师范大学,,师范,江西,215.5,117,116.030401,28.682091,116.0253201,28.68519527
西安建筑科技大学,,理工,陕西,215.5,117,108.965222,34.239635,108.9605092,34.24119117
杭州师范大学,,师范,浙江,215.2,119,120.394204,30.315728,120.3896066,30.31799191
内蒙古大学,一流学科 211,综合,内蒙古,214.9,120,111.690726,40.812259,111.6839121,40.81091007
福建农林大学,,农业,福建,214,121,119.238292,26.082845,119.2335229,26.08598843
江苏师范大学,,师范,江苏,213.4,122,117.18049,34.197566,117.1747061,34.19879287
西安理工大学,,理工,陕西,213.2,123,108.996089,34.221176,108.9912554,34.22265374
辽宁大学,一流学科 211,综合,辽宁,212.6,124,123.404758,41.833936,123.3986071,41.83148914
北京建筑大学,,理工,北京,210.8,125,116.341093,39.936144,116.3349389,39.93481808
安徽师范大学,,师范,安徽,210.5,126,118.376057,31.282868,118.3706616,31.28474461
河南师范大学,,师范,河南,210.4,127,113.849865,34.780709,113.8438936,34.78180637
长沙理工大学,,理工,湖南,209.5,128,112.977322,28.155963,112.971784,28.15939493
昆明理工大学,,理工,云南,206.7,129,102.856572,24.852559,102.8551868,24.85567155
